Sentence,Sentiment
geosolut technolog leverag benefon gp solut provid locat base search technolog commun platform locat relev multimedia content new power commerci model,positive
esi low 150 250 bk real possibl,negative
last quarter 2010 componenta net sale doubl eur131m eur76m period year earlier move zero pretax profit pretax loss eur7m,positive
accord finnishrussian chamber commerc major construct compani finland oper russia,neutral
swedish buyout firm sold remain 224 percent stake almost eighteen month take compani public finland,neutral
spi wouldnt surpris see green close,positive
shell 70 billion bg deal meet sharehold skeptic,negative
ssh commun secur corp stock exchang releas octob 14 2008 245 pm compani updat full year outlook estim result remain loss full year,negative
kone net sale rose 14 yearonyear first nine month 2008,positive
stockmann depart store total floor space 8000 squar metr stockmann invest project price tag eur 12 million,neutral
circul revenu increas 5 finland 4 sweden 2008,positive
sap q1 disappoint softwar licens real problem cloud growth trail msft orcl goog crm adb,negative
subdivis made sale revenu last year eur 4807 million eur 4149 million 2008 oper profit eur 445 million eur 74 million,positive
vike line cancel servic,neutral
ahlstrom corpor stock exchang announc 722007 1030 total 56955 new share ahlstrom corpor subscrib option right compani stock option program 2001 ii 2001,neutral
fb gone green day,positive
msft sql server revenu grew doubledigit sql server premium revenu grow 30,positive
accord lñnnen tehtaat ceo matti karppinen compani aim deliv fish product custom day earlier current,neutral
compani share quot nasdaq omx helsinki rautaruukki oyj rtrk,neutral
elcoteq se list nasdaq omx helsinki ltd,neutral
two contract turntabl anod vibrocompactor deliv gansu hualu aluminum co ltd anoth unnam costum,neutral
aviva friend life top forecast ahead 56 billion pound merger,positive
stead base soft drink usual teho energi drink made fresh water,neutral
compani plan increas unit specialist staff sever dozen depend market situat 2010,neutral
compani close last year turnov four million euro,neutral
shire ceo step drive get baxalta board talk,positive
costco premier retail dividend play cost,positive
fivestorey ecoeffici build gross floor area 15000 sq also includ apart,neutral
first instal cinema seri conclud profil finnish inventor olavi linden whose person artist journey work fiskar led dozen design award,neutral
welcom,neutral
stockmann swedish sector compani ab lindex enter agreement septemb 30 2007 wherebi stockmann whollyown subsidiari make public tender offer lindex issu share,positive
huhtamaki oyj stock exchang releas 1692008 1332 huhtamaki capit market day institut investor analyst held espoo septemb 16 2008 start 1330 pm finnish tear eye,neutral
pleas welcom tapek noma cramo group,positive
profit tax eur 1059 827 million,neutral
royal dutch shell buy bg group nearli 70 billion,positive
financialwir tm press releas servic receiv compens news opinion distribut,neutral
assa abloy kaupth bank gave neutral recommend share price target 174 crown 247 19 euro swedish lock maker assa abloy ab,neutral
item includ restructur cost eur1 6 year earlier eur13 1 dilut ep stood eur0 3 versu loss per share eur 01,positive
2005 bank post net profit lt 82 mn,neutral
aapl afternoon selloff usual brutal get readi lose ton money,negative
tsla recal pretti much everi singl model x cnnbrk got short even work jump money trade,negative
dolc gabbana ask european union declar marimekko corpor unikko floral pattern trademark invalid continu disput two compani,negative
intercontinent hotel firstquart global room revenu lag estim,negative
accord finnish pension insur compani varma varma recipi two third revenu earningsrel pension cover competit tender finland,positive
portion 125 million record part win prior patent disput finnish phone maker nokia oyj,positive
lg still pay price dividend cut crisi chief say,negative
