,Sentence,Sentiment
0,geosolut technolog leverag benefon gp solut provid locat base search technolog commun platform locat relev multimedia content new power commerci model,positive
1,esi low 150 250 bk real possibl,negative
2,last quarter 2010 componenta net sale doubl eur131m eur76m period year earlier move zero pretax profit pretax loss eur7m,positive
3,accord finnishrussian chamber commerc major construct compani finland oper russia,neutral
4,swedish buyout firm sold remain 224 percent stake almost eighteen month take compani public finland,neutral
5,spi wouldnt surpris see green close,positive
6,shell 70 billion bg deal meet sharehold skeptic,negative
7,ssh commun secur corp stock exchang releas octob 14 2008 245 pm compani updat full year outlook estim result remain loss full year,negative
8,kone net sale rose 14 yearonyear first nine month 2008,positive
9,stockmann depart store total floor space 8000 squar metr stockmann invest project price tag eur 12 million,neutral
10,circul revenu increas 5 finland 4 sweden 2008,positive
11,sap q1 disappoint softwar licens real problem cloud growth trail msft orcl goog crm adb,negative
12,subdivis made sale revenu last year eur 4807 million eur 4149 million 2008 oper profit eur 445 million eur 74 million,positive
13,vike line cancel servic,neutral
14,ahlstrom corpor stock exchang announc 722007 1030 total 56955 new share ahlstrom corpor subscrib option right compani stock option program 2001 ii 2001,neutral
15,fb gone green day,positive
16,msft sql server revenu grew doubledigit sql server premium revenu grow 30,positive
17,accord lñnnen tehtaat ceo matti karppinen compani aim deliv fish product custom day earlier current,neutral
18,compani share quot nasdaq omx helsinki rautaruukki oyj rtrk,neutral
19,elcoteq se list nasdaq omx helsinki ltd,neutral
20,two contract turntabl anod vibrocompactor deliv gansu hualu aluminum co ltd anoth unnam costum,neutral
21,aviva friend life top forecast ahead 56 billion pound merger,positive
22,stead base soft drink usual teho energi drink made fresh water,neutral
23,compani plan increas unit specialist staff sever dozen depend market situat 2010,neutral
24,compani close last year turnov four million euro,neutral
25,shire ceo step drive get baxalta board talk,positive
26,costco premier retail dividend play cost,positive
27,fivestorey ecoeffici build gross floor area 15000 sq also includ apart,neutral
28,first instal cinema seri conclud profil finnish inventor olavi linden whose person artist journey work fiskar led dozen design award,neutral
29,welcom,neutral
30,stockmann swedish sector compani ab lindex enter agreement septemb 30 2007 wherebi stockmann whollyown subsidiari make public tender offer lindex issu share,positive
31,huhtamaki oyj stock exchang releas 1692008 1332 huhtamaki capit market day institut investor analyst held espoo septemb 16 2008 start 1330 pm finnish tear eye,neutral
32,pleas welcom tapek noma cramo group,positive
33,profit tax eur 1059 827 million,neutral
34,royal dutch shell buy bg group nearli 70 billion,positive
35,financialwir tm press releas servic receiv compens news opinion distribut,neutral
36,assa abloy kaupth bank gave neutral recommend share price target 174 crown 247 19 euro swedish lock maker assa abloy ab,neutral
37,item includ restructur cost eur1 6 year earlier eur13 1 dilut ep stood eur0 3 versu loss per share eur 01,positive
38,2005 bank post net profit lt 82 mn,neutral
39,aapl afternoon selloff usual brutal get readi lose ton money,negative
40,tsla recal pretti much everi singl model x cnnbrk got short even work jump money trade,negative
41,dolc gabbana ask european union declar marimekko corpor unikko floral pattern trademark invalid continu disput two compani,negative
42,intercontinent hotel firstquart global room revenu lag estim,negative
43,accord finnish pension insur compani varma varma recipi two third revenu earningsrel pension cover competit tender finland,positive
44,portion 125 million record part win prior patent disput finnish phone maker nokia oyj,positive
45,lg still pay price dividend cut crisi chief say,negative
46,volum invest two phase project estim usd 300mn eur 21503 mn,neutral
47,russia account 9 lagarder magazin divis revenu eur 11440 mn usd 14811 mn 2009 usa 18,neutral
48,compani also estim alreadi carri invest lead increas net sale 2010 2009 reach eur 1417 million,positive
49,profit account period eur 03 mn,neutral
50,six breweri record 52 percent growth domest beer sale last year 27021 million liter 25688 million liter sold 2005,positive
51,augustoctob 2010 compani result tax total eur 96 mn eur 05 mn correspond period 2009,positive
52,systeemitiimi sale project resourc also strengthen director paul skogberg said,positive
53,tesco share price jump q3 sale top estim,positive
54,fine print,neutral
55,price log clearli improv 2009 also price pulpwood gone,positive
56,thu sysopen digia accord chapter 14 section 21 finnish compani act 2991978 734 obtain titl share sentera redeem,neutral
57,dilut earn per share ep fell eur 063 eur 171,neutral
58,337 pm eastern tear eye block 2400 contract chang hand bid price 045,neutral
